# total_time tau_hot tau_cold eta power W_out Q_hot Q_cold W_comp W_exp W_net
1.321500000000000000e+03 4.380000000000000000e+02 8.760000000000000000e+02 6.847562065978654022e-01 1.445633154060684553e-04 1.910404213091194681e-01 2.789904194637131130e-01 -1.371764634111238557e-01 -7.194629894319928276e-01 5.284225681228733595e-01 -1.910404213091194681e-01
1.324500000000000000e+03 4.390000000000000000e+02 8.780000000000000000e+02 6.847506946947047313e-01 1.447783319143460532e-04 1.917589006205513424e-01 2.800419219816152605e-01 -1.371901837362654586e-01 -7.201690939313341033e-01 5.284101933107827609e-01 -1.917589006205513424e-01
1.327500000000000000e+03 4.400000000000000000e+02 8.800000000000000000e+02 6.847562884129484440e-01 1.449912269392956651e-04 1.924758537619150056e-01 2.810866537757747419e-01 -1.372007219645080545e-01 -7.208705779230228927e-01 5.283947241611078871e-01 -1.924758537619150056e-01
1.330500000000000000e+03 4.410000000000000000e+02 8.820000000000000000e+02 6.847515769623389037e-01 1.451975221210777224e-04 1.931853031820939259e-01 2.821246561257924057e-01 -1.372140652371771630e-01 -7.215674716422552093e-01 5.283821684601612834e-01 -1.931853031820939259e-01
1.333500000000000000e+03 4.420000000000000000e+02 8.840000000000000000e+02 6.847563223703114765e-01 1.454014553771975650e-04 1.938928407454929559e-01 2.831559701038248167e-01 -1.372246670198089546e-01 -7.222598051262640872e-01 5.283669643807711314e-01 -1.938928407454929559e-01
1.336500000000000000e+03 4.430000000000000000e+02 8.860000000000000000e+02 6.847523775148031122e-01 1.455992267400146758e-04 1.945933665380296107e-01 2.841806365744569685e-01 -1.372376397101691681e-01 -7.229476082154193683e-01 5.283542416773897576e-01 -1.945933665380296107e-01
1.339500000000000000e+03 4.440000000000000000e+02 8.880000000000000000e+02 6.847563805864829156e-01 1.457944210185551769e-04 1.952916269543546468e-01 2.851986961948284049e-01 -1.372482790056142044e-01 -7.236309105544387332e-01 5.283392836000840864e-01 -1.952916269543546468e-01
1.342500000000000000e+03 4.450000000000000000e+02 8.900000000000000000e+02 6.847531660218324490e-01 1.459838609680884098e-04 1.959833333496586727e-01 2.862101894150424486e-01 -1.372608885799930234e-01 -7.243097415938097861e-01 5.283264082441511134e-01 -1.959833333496586727e-01
1.345500000000000000e+03 4.460000000000000000e+02 8.920000000000000000e+02 6.847564291532031167e-01 1.461705127823150819e-04 1.966724249486049292e-01 2.872151564780747179e-01 -1.372715683182752777e-01 -7.249841305908459876e-01 5.283117056422410585e-01 -1.966724249486049292e-01
1.348500000000000000e+03 4.470000000000000000e+02 8.940000000000000000e+02 6.847539574284609021e-01 1.463518196575539832e-04 1.973554288082115526e-01 2.882136374200219286e-01 -1.372838086138346014e-01 -7.256541066109116755e-01 5.282986778027001229e-01 -1.973554288082115526e-01
1.351500000000000000e+03 4.480000000000000000e+02 8.960000000000000000e+02 6.847564856422024837e-01 1.465301218163340058e-04 1.980354596347754237e-01 2.892056720704833106e-01 -1.372945309690680182e-01 -7.263196985287756480e-01 5.282842388940002243e-01 -1.980354596347754237e-01
1.354500000000000000e+03 4.490000000000000000e+02 8.980000000000000000e+02 6.847547211092587238e-01 1.467034793176884668e-04 1.987098627358090397e-01 2.901913000525382369e-01 -1.373064098250534881e-01 -7.269809350296356776e-01 5.282710722938266379e-01 -1.987098627358090397e-01
